dataset,model,rmse,rank
openml/44065,HingeEBM_big,0.804410,19
openml/44065,SklearnGAM_hybrid,0.841945,35
openml/44065,SmoothGAM_RF,0.805676,22
openml/44065,HingeEBM_LinDisp,0.804160,17
openml/44065,SmartAdditive_v5,0.838316,31
openml/44065,SmoothGAM_noES,0.841892,33
openml/44065,SmoothGAM_hybrid,0.783683,7
openml/44065,SmartAddGAM_r90,0.781439,5
openml/44065,SmoothGAM_RF100,0.803736,16
openml/44065,SmartAdditive_v1,0.781435,3
openml/44065,HingeEBM_5bag,0.804562,20
openml/44065,HingeEBM_smart,0.804160,18
openml/44065,SmoothGAM_RF_sqrt,0.816474,27
openml/44065,SmoothGAM_tinyGBM,0.823217,29
openml/44065,FullPWC_LinDisp,0.781435,4
openml/44065,SmoothGAM_40s,0.815555,26
openml/44065,HingeGBM_v1,0.803612,15
openml/44065,SklearnStumpGAM_v1,0.781442,6
openml/44065,SmoothGAM_50s,0.813417,24
openml/44065,SmoothGAM_r70hyb,0.841892,34
openml/44065,DistilledGAM_v1,0.821004,28
openml/44065,SmartAdditive_v2,0.838316,32
openml/44065,HingeEBM_v1,0.804970,21
openml/44065,SmoothGAM_v1,0.783715,8
openml/44065,SmoothGAM_ES,0.783715,9
openml/44065,PyGAM,0.850711,39
openml/44065,DT_mini,0.815414,25
openml/44065,DT_large,0.867026,40
openml/44065,OLS,0.845727,37
openml/44065,LassoCV,0.845435,36
openml/44065,RidgeCV,0.846360,38
openml/44065,RF,0.781283,2
openml/44065,GBM,0.797365,13
openml/44065,MLP,0.830047,30
openml/44065,FIGS_mini,0.796115,12
openml/44065,FIGS_large,0.874162,41
openml/44065,RuleFit,0.794204,11
openml/44065,HSTree_mini,0.809819,23
openml/44065,HSTree_large,0.802914,14
openml/44065,EBM,0.786794,10
openml/44065,TabPFN,0.774237,1
openml/44066,HingeEBM_big,0.406124,8
openml/44066,SklearnGAM_hybrid,0.453458,20
openml/44066,SmoothGAM_RF,0.453458,21
openml/44066,HingeEBM_LinDisp,0.400754,4
openml/44066,SmartAdditive_v5,0.448822,11
openml/44066,SmoothGAM_noES,0.453458,22
openml/44066,SmoothGAM_hybrid,0.448953,14
openml/44066,SmartAddGAM_r90,0.448822,12
openml/44066,SmoothGAM_RF100,0.453458,23
openml/44066,SmartAdditive_v1,0.451738,17
openml/44066,HingeEBM_5bag,0.403129,7
openml/44066,HingeEBM_smart,0.400754,5
openml/44066,SmoothGAM_RF_sqrt,0.453458,24
